Category,Avg_Rating,Avg_Price,Value_Index
Contour,3.13,79.16,0.0395
BB Cream,3.06,78.91,0.0388
CC Cream,3.07,79.43,0.0387
Eyeliner,2.91,75.72,0.0385
Serum,2.97,77.41,0.0383
Setting Spray,3.05,79.98,0.0381
Powder,2.99,78.66,0.0381
Cleanser,3.01,79.0,0.0381
Concealer,3.0,78.79,0.038
Primer,3.04,80.11,0.0379
Moisturizer,3.08,81.58,0.0377
Mascara,3.01,79.83,0.0377
Face Oil,2.97,79.51,0.0374
Highlighter,3.03,81.43,0.0372
Foundation,3.01,80.92,0.0372
Face Mask,3.02,81.51,0.037
Makeup Remover,3.0,81.81,0.0367
Exfoliator,3.05,83.01,0.0367
Bronzer,2.98,81.36,0.0367
Lip Gloss,2.95,80.54,0.0366
Blush,2.98,82.29,0.0362
Lipstick,2.92,81.11,0.0361
Lip Liner,2.89,79.93,0.0361
Eye Shadow,2.95,81.66,0.0361
