Brand,Cruelty_Free_Pct
ColourPop,56.1
Glossier,53.35
Becca,53.35
Farsali,53.13
Yves Saint Laurent,53.05
Bobby Brown,52.63
RMS Beauty,52.62
Kylie Cosmetics,52.43
Drunk Elephant,51.9
Kiehl’s,51.09
Natasha Denona,50.82
Juvia’s Place,50.54
Charlotte Tilbury,50.27
Bite Beauty,50.26
Urban Decay,50.0
NARS,49.5
Clinique,49.34
Tarte,49.31
Huda Beauty,49.22
Pat McGrath Labs,49.09
Bourjois,49.02
Morphe,48.98
Fenty Beauty,48.91
Rare Beauty,48.8
Hourglass,48.63
Patrick Ta,48.41
Danessa Myricks,48.32
IT Cosmetics,48.27
Perricone MD,48.14
Milk Makeup,48.12
Sisley,47.96
E.l.f.,47.87
Ilia Beauty,47.76
Anastasia Beverly Hills,47.7
KVD Beauty,47.31
Laura Mercier,45.92
Too Faced,45.55
Shiseido,45.14
Tatcha,43.58
Make Up For Ever,43.48
